year,date,50_s36,52_s36,61_s36,106_s36,108_s36,183_s36,3408_s36,6051_s36,6450_s36,6452_s36,6455_s36,6460_s36,rainfall_mm,temperature_C
2005,2005/8/30,244,214,6.91,2.02,2.04,,593,359,3.42,3.7,610,280,73.78991438,14.12813852
2005,2005/9/13,203,157,7.02,2.05,2.1,,647,372,3.18,3.4,659,250,104.9595076,13.3296171
2005,2005/9/22,191,166,7.01,2.05,2.12,,681,327,3.89,3.41,688,229,104.9595076,13.3296171
2005,2005/11/21,115,103,6.82,1.64,1.61,,578,128,2.58,2.28,584,102,204.536134,5.075522668
2005,2005/12/7,202,190,6.4,1.74,1.74,,521,114,2.89,3.06,518,86,152.5698701,4.17130989
2005,2005/12/13,134,119,6.01,1.74,1.74,,588,122,2.11,2.23,578,91.5,152.5698701,4.17130989
2005,2005/12/15,130,111,6.45,1.7,1.7,,558,138,2.15,2.24,566,98.3,152.5698701,4.17130989
2007,2007/1/31,120,110,6.8,10,10,,540,130,10,10,530,50,228.8498403,5.961929461
2007,2007/2/28,280,290,6.2,10,10,,400,110,10,10,400,20,153.6838027,4.847005351
2007,2007/3/28,100,70,7,10,10,6.01,530,50,10,10,500,60,119.0114883,5.756318827
2007,2007/4/25,110,90,7.1,10,10,7.96,530,90,10,10,520,70,17.0884397,9.814001288
2007,2007/5/23,120,110,6.5,10,10,6.09,500,100,10,10,490,50,137.810726,10.31091522
2007,2007/6/27,270,250,6.5,10,10,4.98,530,260,10,10,550,230,178.6334648,13.6352321
2007,2007/7/25,290,270,6.1,10,10,4.89,490,330,10,10,480,290,231.8439222,13.18352924
2007,2007/8/22,60,150,6.7,20,20,5.35,450,230,20,20,480,150,72.88576768,13.60102554
2007,2007/9/26,310,280,6.2,10,10,,500,250,10,10,510,240,106.0082073,12.27418467
2007,2007/10/17,320,200,6.6,10,10,,410,930,10,10,430,350,62.41333475,9.878641006
2007,2007/11/14,200,180,5.9,1.5,10,,480,190,2,10,480,160,95.3676137,6.730273608
2007,2007/12/12,150,140,6.3,1.5,10,,530,210,3,10,530,90,214.2064767,4.392239299
2009,2009/2/18,104,92.8,6.14,1.43,1.45,10,433,61.6,2.18,2.47,446,37.7,29.96032613,3.409975019
2009,2009/3/11,189,166,6.23,1.52,1.55,10,457,112,2.47,2.9,451,81.3,81.73207973,5.441778691
2009,2009/8/18,211,176,7.19,1.65,1.7,10,531,286,3.4,3.5,557,211,94.61067387,14.38560451
2009,2009/10/28,181,133,7.06,2.1,1.61,10,893,288,2.35,2.69,495,192,132.0504867,10.30236083
2009,2009/12/8,272,257,6.21,1.62,1.59,10,444,172,2.7,2.6,424,135,169.5669831,2.359271492
2011,2011/1/7,131,103,7.04,1.57,1.59,10,484,150,1.83,2.1,499,91,180.3492113,2.413612413
2011,2011/8/3,,122,7.03,1.83,,,644,,3.44,,,,79.39853554,13.4514878
2011,2011/9/2,,131,6.6,1.6,,,507,,2.73,,,,139.230853,13.24418585
2011,2011/9/15,,145,6.55,1.45,,,456,,2.79,,,,139.230853,13.24418585
2011,2011/10/24,,223,,1.71,,,523,,2.68,,,,140.9870127,11.17816765
2011,2011/11/9,,136,6.81,1.51,,,486,,2.68,,,,98.53685464,8.475348769
2011,2011/11/18,,148,6.63,1.6,,,514,,2.7,,,,98.53685464,8.475348769
2011,2011/12/20,,251,5.64,1.28,,,354,,2.33,,,,275.1835525,5.605382586
2022,2022/1/17,110,91.2,6.8,1.38,1.42,,441,,2.08,2.16,424,,88.71565209,4.202539987
2022,2022/2/15,301,280,5.37,1.01,1.05,,272,,2.54,2.6,271,,249.5321709,5.888528235
2022,2022/5/5,102,74.1,6.54,1.48,1.5,,521,,2.45,2.36,528,,72.67516163,11.10917054
2022,2022/6/14,114,100,6.63,1.56,1.65,,514,,2.56,2.82,508,,80.3641363,12.70401375
2022,2022/7/14,182,83.4,6.8,1.84,1.87,,538,,2.37,2.91,575,,70.89403661,15.47501347
2022,2022/8/10,138,113,6.57,1.57,1.63,,503,,3.21,3.24,483,,34.82122562,15.98955095
2022,2022/9/7,244,226,6.02,1.88,1.93,,555,,3.19,3.53,576,,144.4944835,12.6650663
2022,2022/10/6,268,246,6.27,1.82,1.7,,500,,3.2,3.2,496,,186.8213261,11.38861112
2022,2022/11/10,279,272,5.72,1.74,1.44,,494,,2.69,3.04,394,,196.474854,7.902176679
2022,2022/12/8,118,86,6.2,1.48,1.5,,504,,2.41,3.18,520,,156.5368957,2.756401158
