,log10 Lead (50),"log10 Lead, Dissolved (52)",log10 pH (61),"log10 Cadmium, Dissolved (106)",log10 Cadmium (108),log10 Sulphate as SO4 (183),"log10 Zinc, Dissolved (3408)",log10 Iron (6051),"log10 Copper, Dissolved (6450)",log10 Copper (6452),log10 Zinc (6455),"log10 Iron, Dissolved (6460)"
log10 Lead (50),1.0,0.09604515115556,-0.08652190959815573,-0.2164231153548435,0.1370752267300033,-0.1818397521258634,0.07547252338166517,0.7153451306211835,-0.1450087643648973,0.2971975508893879,0.16825905024310148,-0.02848265099573355
"log10 Lead, Dissolved (52)",0.09604515115556,1.0,-0.16589155779093762,-0.17848878296312087,-0.24796654357398995,-0.1931918623940902,0.009922755148602832,-0.13070271311773643,0.017173372801920044,0.12005985323454806,0.012286349740334667,0.4314409430086328
log10 pH (61),-0.08652190959815573,-0.16589155779093762,1.0,-0.012036017640348756,-0.012875844315757222,0.12458837360478586,0.08760920670954728,0.05834986417035684,-0.06806747879052343,-0.12099115165258273,0.0630203809229128,-0.09053609871410787
"log10 Cadmium, Dissolved (106)",-0.2164231153548435,-0.17848878296312087,-0.012036017640348756,1.0,0.9043710951445357,0.49264853743783266,0.2159553083264233,0.11826691596015029,-0.04927519357037641,-0.24328582208541386,0.17860426754052655,-0.13136967803652633
log10 Cadmium (108),0.1370752267300033,-0.24796654357398995,-0.012875844315757222,0.9043710951445357,1.0,0.47221063216211645,0.23814857397634517,0.42763271215407317,-0.09839767386570784,-0.14660155271586245,0.24016064879551116,-0.19343408344682914
log10 Sulphate as SO4 (183),-0.1818397521258634,-0.1931918623940902,0.12458837360478586,0.49264853743783266,0.47221063216211645,1.0,0.34329026208081875,0.35565864631288596,0.07413482224007016,-0.8780608508411398,0.12277205978701301,0.26539435214865065
"log10 Zinc, Dissolved (3408)",0.07547252338166517,0.009922755148602832,0.08760920670954728,0.2159553083264233,0.23814857397634517,0.34329026208081875,1.0,0.5262527686890435,-0.877608215888903,-0.24890061147038167,0.9558186737488322,-0.381210211403087
log10 Iron (6051),0.7153451306211835,-0.13070271311773643,0.05834986417035684,0.11826691596015029,0.42763271215407317,0.35565864631288596,0.5262527686890435,1.0,-0.4066271123198051,-0.1781598610094118,0.49614686814004316,-0.1031641815365533
"log10 Copper, Dissolved (6450)",-0.1450087643648973,0.017173372801920044,-0.06806747879052343,-0.04927519357037641,-0.09839767386570784,0.07413482224007016,-0.877608215888903,-0.4066271123198051,1.0,-0.15260970909562518,-0.9644174540911374,0.6240540699787068
log10 Copper (6452),0.2971975508893879,0.12005985323454806,-0.12099115165258273,-0.24328582208541386,-0.14660155271586245,-0.8780608508411398,-0.24890061147038167,-0.1781598610094118,-0.15260970909562518,1.0,0.006967730889833816,-0.45212318095281023
log10 Zinc (6455),0.16825905024310148,0.012286349740334667,0.0630203809229128,0.17860426754052655,0.24016064879551116,0.12277205978701301,0.9558186737488322,0.49614686814004316,-0.9644174540911374,0.006967730889833816,1.0,-0.5285877802815456
"log10 Iron, Dissolved (6460)",-0.02848265099573355,0.4314409430086328,-0.09053609871410787,-0.13136967803652633,-0.19343408344682914,0.26539435214865065,-0.381210211403087,-0.1031641815365533,0.6240540699787068,-0.45212318095281023,-0.5285877802815456,1.0
