year,date,37/3527_S29,50_S29,52_S29,61_S29,106_S29,108_S29,183_S29,3408_S29,6051_S29,6450_S29,6452_S29,6455_S29,6460_S29
2005,2005/8/30,0.004,332,139,6.73,26.3,26.5,106,235000,946,1.37,4.34,,500
2005,2005/9/13,0.004,520,132,6.5,27.2,43.4,172,22000,1520,1.5,7.2,36900,496
2005,2005/9/22,0.003,331,161,6.62,28.7,30.3,107,27300,900,2.23,4.7,27200,490
2005,2005/11/21,0.009,478,286,6.07,31.1,30.6,100,25800,672,4.73,7.47,25900,325
2005,2005/12/7,0.017,737,564,6.6,31.9,32.8,86.7,25000,605,7.98,10.6,24700,321
2005,2005/12/13,0.016,616,384,6.19,33.4,34.1,95.3,28000,796,6.3,9.97,30000,357
2005,2005/12/15,0.009,521,299,6.39,31.7,32.1,94.2,27900,805,4.44,8.21,28600,344
2007,2007/1/31,0.00215,510,310,6.5,30,20,,2080,680,10,10,18800,310
2007,2007/2/28,0.04678,630,530,6.7,20,20,,22600,490,10,10,19400,220
2007,2007/3/28,0.01177,400,260,6.7,20,10,67.2,19400,750,10,10,20000,300
2007,2007/4/25,0.0135,320,110,6.7,20,20,90.1,1950,710,10,10,19400,280
2007,2007/5/23,0.00888,780,370,6.6,30,20,91.4,23700,890,10,10,23800,440
2007,2007/6/27,0.00615,550,300,6.7,30,20,96.1,21800,800,10,10,25500,370
2007,2007/7/25,0.01622,590,440,6.5,30,20,90.9,23600,790,10,10,24200,300
2007,2007/8/22,0.00537,510,260,6.6,30,20,88.7,25700,750,20,20,31700,360
2007,2007/9/26,0.00888,920,810,6.2,30,30,,23700,500,10,10,25200,360
2007,2007/10/17,0.00537,350,130,6.5,20,20,,23600,1190,10,10,25400,440
2007,2007/11/14,0.00537,460,230,6.2,26.7,10,,2420,890,1,10,2410,530
2007,2007/12/12,0.01927,880,670,6.2,44.1,50,,33400,630,16,20,32900,400
2009,2009/2/18,,486,234,6.14,23.8,24.8,78,18200,758,1.2,5.5,18400,390
2009,2009/3/11,0.0201,626,360,6.49,27.7,29,83,20000,765,2.4,8.1,20900,409
2009,2009/8/18,,515,284,6.86,26,26.8,83,19100,778,2,5.5,20600,440
2009,2009/10/28,0.004,433,198,6.82,25.7,26.3,90,20100,833,1.01,3.91,19500,485
2009,2009/12/8,,729,571,6.74,31.4,31,80,22000,679,7.1,10.7,22000,395
2011,2011/1/7,0.006,488,254,6.82,26.8,25.7,85.4,18600,942,1.3,5.5,20900,523
2011,2011/8/3,0.005,527,239,6.71,28.3,28.5,,21300,994,1.75,5.78,21700,479
2011,2011/9/2,0.008,560,269,6.82,29.5,28.8,95.5,21400,972,1.11,5.36,23400,487
2011,2011/9/15,3.7,645,354,6.71,28.5,30,,21800,1020,3.62,7.37,21900,592
2011,2011/10/24,3.2,564,316,,26.8,26.7,85.9,22300,935,2.6,6.15,20900,504
2011,2011/11/9,,586,273,6.32,25.3,25.5,83.5,20400,1010,1.84,6.55,19100,438
2011,2011/11/18,,491,252,6.16,25.1,25.2,83,20100,856,1.34,4.54,19000,439
2011,2011/12/20,,1160,977,6.11,40.4,39.7,86,28800,675,10.6,12.9,26200,351
2022,2022/1/17,6.56,832,288,6.7,22.7,22.4,73.1,17200,1230,2.13,7.19,18300,326
2022,2022/2/15,12.66,838,662,6.5,26.2,27,74,20000,502,3.99,5.89,20100,276
2022,2022/5/5,3.26,498,181,6.53,23.5,22.6,83.3,19200,860,1,3.69,19200,380
2022,2022/6/14,1.94,425,146,6.83,23.4,23.6,89.7,20500,715,1,3.32,20000,205
2022,2022/7/14,1.89,396,122,6.66,24.7,25.5,93.6,21200,690,1,3.31,21300,199
2022,2022/8/10,2.42,538,304,6.61,25.1,25.2,90.9,21300,810,1,4.29,20200,488
2022,2022/9/7,3.11,729,440,6.35,32.4,32.6,95.4,24700,754,1.4,5.09,25600,379
2022,2022/10/6,7,871,761,6.5,33.6,32.4,90.4,23900,703,2.81,5.98,24100,339
2022,2022/11/10,9.6,830,724,6.23,30.6,31.9,80.2,23100,580,4.25,6.73,22900,379
2022,2022/12/8,4.88,498,277,6.64,25.4,26,82.3,20300,786,1.85,5.02,20500,398
2024,2024/1/3,,998,829,6.16,34,34.4,77.6,29300,502,11.9,13.2,30300,258
2024,2024/1/25,,706,494,6.49,23,24.2,74.1,18300,556,2.47,5.05,19700,253
2024,2024/3/7,,574,446,6.27,23.8,22.2,21.6,23000,636,3.11,5.49,17700,330
2024,2024/4/9,,743,552,6.27,23.6,22.5,65.3,17900,429,3.59,5.37,17300,256
2024,2024/5/2,4.11,565,266,6.44,21.3,21.1,74.1,18000,799,1.51,4.59,18800,327
2024,2024/6/4,5.88,558,342,6.3,21.6,21.1,73.3,17300,638,2.37,4.79,17900,558
2024,2024/7/2,3.57,465,231,6.69,20.8,21,77.2,18100,738,1.96,4.08,17700,363
2024,2024/8/6,3.39,468,239,6.7,22,21.8,80.7,18600,727,1.03,3.74,18400,405
2024,2024/9/2,,659,233,6.36,21.1,22.6,75.9,18600,1020,1.26,5.54,19700,418
2024,2024/10/9,6.11,545,316,6.53,22.6,21.7,77.7,20100,716,2.96,4.85,19400,386
2024,2024/11/6,5.31,497,262,6.62,22.5,22.6,75.9,18100,749,1.6,4.56,19400,396
2024,2024/12/4,8.75,741,574,6.41,29,28.6,83.8,22100,566,4.71,6.78,22500,333
