date,37_Pugh,50_Pugh,52_Pugh,61_Pugh,106_Pugh,108_Pugh,3408_Pugh,6051_Pugh,6455_Pugh,6460_Pugh,37_Nant,50_Nant,52_Nant,61_Nant,106_Nant,108_Nant,3408_Nant,6051_Nant,6455_Nant,6460_Nant
2007/1/31,0.00215,510,310,6.5,30,20,2080,680,18800,310,0.002,660,690,6.5,30,30,11200,20,10400,10
2007/2/28,0.04678,630,530,6.7,20,20,22600,490,19400,220,,,,,,,,,,
2007/3/28,0.01177,400,260,6.7,20,10,19400,750,20000,300,0.00397,630,690,6.5,30,10,10800,10,10900,10
2007/4/25,0.0135,320,110,6.7,20,20,1950,710,19400,280,0.0001,770,730,6.8,20,20,7670,10,7500,10
2007/5/23,0.00888,780,370,6.6,30,20,23700,890,23800,440,0.02338,880,880,6.5,40,40,12300,20,12900,10
2007/6/27,0.00615,550,300,6.7,30,20,21800,800,25500,370,0.00919,950,910,6.7,30,30,10100,30,9630,10
2007/7/25,0.01622,590,440,6.5,30,20,23600,790,24200,300,0,820,840,6.6,30,30,10500,80,11000,10
2007/8/22,0.00537,510,260,6.6,30,20,25700,750,31700,360,,,,,,,,,,
2007/9/26,0.00888,920,810,6.2,30,30,23700,500,25200,360,0,1390,1400,6.2,40,40,13600,20,12200,10
2007/10/17,0.00537,350,130,6.5,20,20,23600,1190,25400,440,0.00935,760,760,6.3,30,30,9930,10,9760,10
2007/11/14,0.00537,460,230,6.2,26.7,10,2420,890,2410,530,0.00594,830,760,5.9,27.3,10,10900,10,11900,10
2007/12/12,0.01927,880,670,6.2,44.1,50,33400,630,32900,400,0.16761,750,730,6.1,34.9,40,12100,10,12000,20
2008/12/9,,546,450,5.73,25.5,25.9,18300,641,19700,355,0.009,,,,,,,,,
2009/2/18,,486,234,6.14,23.8,24.8,18200,758,18400,390,0.002,,,,,,,,,
2009/3/11,0.0201,626,360,6.49,27.7,29,20000,765,20900,409,0.008,706,676,6.97,25.7,26.5,8110,30,8460,30
2009/8/18,,515,284,6.86,26,26.8,19100,778,20600,440,0.003,687,637,6.96,32.3,31.5,9860,106,10800,30
2009/10/28,0.004,433,198,6.82,25.7,26.3,20100,833,19500,485,0.002,762,717,6.83,28.9,30.6,9760,30,9300,30
2009/12/8,,729,571,6.74,31.4,31,22000,679,22000,395,0.0159,551,474,6.67,15.1,15.6,4940,247,4980,55
2010/11/4,0.004,529,312,6.7,27.4,28.1,20600,842,21100,473,0.061,568,557,5.89,13.2,12.8,4190,194,3890,144
2010/11/12,0.01,734,453,6.64,34.6,34.2,25800,938,27000,450,0.012,901,880,6.74,35.4,35.9,11900,74.8,11700,30
2010/12/13,0.002,652,206,6.85,26.8,26.8,20600,1210,21000,483,0.001,722,730,7.05,29.1,29.4,9660,36.6,9930,30
2011/1/7,0.006,488,254,6.82,26.8,25.7,18600,942,20900,523,0.002,887,731,6.88,31.8,31,10200,230,10400,30
2011/8/3,0.005,527,239,6.71,28.3,28.5,21300,994,21700,479,0,,,,,,,,,
2011/9/2,,560,269,6.82,29.5,28.8,21400,972,23400,487,0.01,,890,6.33,31.2,,9940,,,
2011/9/15,0.008,645,354,6.71,28.5,30,21800,1020,21900,592,0.003,,820,6.6,31.3,,10100,,,
2011/10/24,,564,316,,26.8,26.7,22300,935,20900,504,,,813,,32.1,,11000,,,
2011/11/9,,586,273,6.32,25.3,25.5,20400,1010,19100,438,,,719,6.46,30,,10000,,,
2011/11/18,,491,252,6.16,25.1,25.2,20100,856,19000,439,,,757,6.49,32.1,,10700,,,
2011/12/20,,1160,977,6.11,40.4,39.7,28800,675,26200,351,,,1020,6.32,36.8,,11900,,,
2012/1/12,,888,760,6.14,30.8,30.9,22300,471,22200,295,,,805,6.36,26.1,,8940,,,
2012/1/25,,757,622,6.3,29.5,29.2,19900,558,19500,349,,,604,6.15,22,,6980,,,
2012/2/2,,554,371,6.51,25.3,25.2,17900,707,19200,423,,,609,6.46,32.4,,10900,,,
2012/3/7,,567,310,6.58,23.1,23.3,18200,743,18000,376,,,667,6.58,10.5,,3490,,,
2012/3/28,,498,224,6.51,23.2,23.2,19000,824,18500,394,,,,,,,,,,
