date,rainfall_mm
2005-01,137.8389833839004
2005-02,109.14490014587945
2005-03,78.44892633853267
2005-04,116.54709341157795
2005-05,62.3719536856147
2005-06,79.12047980966645
2005-07,83.46334650859556
2005-08,73.7899143824922
2005-09,104.95950760228303
2005-10,211.10589933426144
2005-11,204.5361339869986
2005-12,152.56987008710212
2007-01,228.8498402840597
2007-02,153.68380268229862
2007-03,119.0114883252765
2007-04,17.08843969932483
2007-05,137.81072601097193
2007-06,178.63346475080766
2007-07,231.84392221036154
2007-08,72.8857676842214
2007-09,106.00820725526164
2007-10,62.41333475323176
2007-11,95.36761369860429
2007-12,214.20647674093053
2008-01,282.4977911923058
2008-02,83.84441811548595
2008-03,178.22167678228945
2008-04,96.03374795659775
2008-05,53.22414521959814
2008-06,95.27779316241931
2008-07,147.64902278353202
2008-08,180.75893978158274
2008-09,157.51484012940935
2008-10,251.7832687101436
2008-11,159.62263952969207
2008-12,111.1758286541954
2009-01,170.57602087890382
2009-02,29.96032613236625
2009-03,81.73207972614354
2009-04,75.01240597016145
2009-05,121.97445853748985
2009-06,72.91273881572032
2009-07,235.72611042719444
2009-08,94.61067386805588
2009-09,63.61285041725706
2009-10,132.05048667327492
2009-11,367.4466491684162
2009-12,169.56698312026612
2010-01,108.10770655087059
2010-02,64.99417005842649
2010-03,101.38942822052972
2010-04,52.60415725961494
2010-05,60.1755390323947
2010-06,46.367738631609754
2010-07,176.82155526480727
2010-08,89.07640961892062
2010-09,163.21538798732828
2010-10,117.30817518812722
2010-11,144.58152543751567
2010-12,62.573667234145816
2011-01,180.34921133332733
2011-02,134.78233920047958
2011-03,30.992645228402804
2011-04,29.485278500831768
2011-05,111.61794294872807
2011-06,122.20451816921818
2011-07,118.37111114902999
2011-08,79.39853553973369
2011-09,139.23085295598764
2011-10,140.9870127213521
2011-11,98.53685463900142
2011-12,275.18355252532257
2012-01,170.99300941349748
2012-02,82.04859167817226
2012-03,32.6120063773733
2012-04,169.32960032174867
2012-05,77.97874766713464
2012-06,275.39419922364254
2012-07,134.55726914302656
2012-08,161.43985084382825
2012-09,137.47515958648682
2012-10,164.89523427260102
2012-11,175.22849240378574
2012-12,312.5416945476854
2022-01,88.7156520930674
2022-02,249.5321709385243
2022-03,53.7201959526325
2022-04,64.6275997389531
2022-05,72.67516162602848
2022-06,80.36413630153041
2022-07,70.89403660555107
2022-08,34.821225624445084
2022-09,144.49448347554062
2022-10,186.82132614591137
2022-11,196.47485401113198
2022-12,156.53689569042237
2024-01,158.88737229689394
2024-02,238.00808195087524
2024-03,157.88738718238957
2024-04,146.97870780769503
2024-05,95.41481387624145
2024-06,62.53357371505229
2024-07,94.3961979017316
2024-08,103.9333446524331
2024-09,159.64865922379758
2024-10,126.79682019612854
2024-11,140.7650593661064
2024-12,255.12916483498688
